,x,y,s,R
215,21.6,0,0.1,10000
216,21.7,0,0.1,10000
217,21.8,0,0.1,10000
218,21.9,0,0.1,10000
219,22,0,0.1,10000
220,22.1,0,0.1,10000
221,22.2,0,0.1,10000
222,22.3,0,0.1,10000
223,22.4,0,0.1,10000
224,22.5,0,0.1,10000
225,22.6,0,0.1,10000
226,22.7,0,0.1,10000
227,22.8,0,0.1,10000
228,22.9,0,0.1,10000
229,23,0,0.1,10000
230,23.1,0,0.1,10000
231,23.2,0,0.1,10000
232,23.3,0,0.1,10000
233,23.4,0,0.1,10000
234,23.5,0,0.1,10000
235,23.6,0,0.1,10000
236,23.7,0,0.1,10000
237,23.8,0,0.1,10000
238,23.9,0,0.1,10000
239,24,0,0.1,10000
240,24.1,0,0.1,10000
241,24.2,0,0.1,10000
242,24.3,0,0.1,10000
243,24.4,0,0.1,10000
244,24.5,0,0.1,10000
245,24.6,0,0.1,10000
246,24.7,0,0.1,10000
247,24.8,0,0.1,10000
248,24.9,0,0.1,10000
249,25,0,0.1,10000
250,25.1,0,0.1,10000
251,25.2,0,0.1,10000
252,25.3,0,0.1,10000
253,25.4,0,0.1,10000
254,25.5,0,0.1,10000
255,25.6,0,0.1,10000
256,25.7,0,0.1,10000
257,25.8,0,0.1,10000
258,25.9,0,0.1,10000
259,26,0,0.1,10000
260,26.1,0,0.1,10000
261,26.2,0,0.1,10000
262,26.3,0,0.1,10000
263,26.4,0,0.1,10000
264,26.5,0,0.1,10000
265,26.6,0,0.1,10000
266,26.7,0,0.1,10000
267,26.8,0,0.1,10000
268,26.9,0,0.1,10000
269,27,0,0.1,10000
270,27.1,0,0.1,10000
271,27.2,0,0.1,10000
272,27.3,0,0.1,10000
273,27.4,0,0.1,10000
274,27.5,0,0.1,10000
275,27.6,0,0.1,10000
276,27.7,0,0.1,10000
277,27.8,0,0.1,10000
278,27.9,0,0.1,10000
279,28,0,0.1,10000
280,28.1,0,0.1,10000
281,28.2,0,0.1,10000
282,28.3,0,0.1,10000
283,28.4,0,0.1,10000
