,x,y,s,R,vx_entry,time,acceleration,vel_fi,vel_ri,vx_max,vx_exit,energy_spent,lateral_acc,time_total,pot
0,2.600006040469831e-18,-2.1666717003915253e-19,2.183134018656619,10.360940960459018,0.0,0.9238126079745557,0.0,11.897354745744218,8.115130956737596,10.006242851240907,4.726356838630088,0.0,0.5390062797220048,0.9238126079745557,2.183134018656619
1,2.7852122246505044,-1.0248189009048725,2.183134018656619,10.360940960459018,4.726356838630088,0.3762719676258694,5.116142384105961,11.897354745744218,8.115130956737596,10.006242851240907,6.877664754747438,3015.6906104188292,3.249061008393353,1.3000845756004251,4.366268037313238
2,1.4209817057424785,-2.624852059451201,2.183134018656619,10.360940960459018,6.877664754747438,0.2899427931387858,5.7174280871659695,11.897354745744218,8.115130956737596,10.006242851240907,8.181402553137854,3370.1161742050144,5.471884963172612,1.5900273687392108,6.549402055969857
3,0.1975131390942169,-4.432944648297095,2.4322833393641514,13.057109162311146,8.181402553137854,0.2801091147939462,4.4965345897263305,13.358269978270021,8.267530326496365,10.812900152383193,9.185282148667634,2952.948465215813,5.77466523758733,1.870136483533157,8.981685395334008
4,-0.8737427915841686,-6.616614260196939,2.380832010728811,8.884503514448676,9.185282148667634,0.26061316120954814,-0.382024607353503,11.034532283431838,7.997903159382863,9.516217721407351,9.0857215080854,0.0,9.393591157969125,2.1307496447427052,11.36251740606282
5,-0.8919174480479471,-8.997376899599157,2.315235826251862,7.865818549157039,9.0857215080854,0.2561720456600765,-0.3740100236718376,10.405645585022318,7.895394914497923,9.15052024976012,8.989910595224012,0.0,10.384439772298224,2.3869216904027817,13.677753232314682
6,-0.1046722507889239,-11.174660053107846,2.601739850684849,11.74752323638836,8.989910595224012,0.29112824422795824,-0.3652154359353854,12.66479052897768,8.20131074057119,10.433050634774435,8.883586066595194,0.0,6.798494382426886,2.67804993463074,16.27949308299953
7,1.2495427868187725,-13.396180226898489,3.213044042039268,14.113578350801928,8.883586066595194,0.35658020049948824,-0.3742270277383644,13.898825967393304,8.312795145361717,11.10581055637751,9.137852238383713,0.0,5.75283302554004,3.0346301351302283,19.492537125038798
8,3.3654936002278912,-15.8141140910307,3.3473985281403578,24.149277201419437,9.137852238383713,0.3435859148786028,0.7130686769269531,18.47912512043902,8.55572062828463,13.517422874361824,10.347221993038575,644.4697606942343,3.9304294144849283,3.3782160500088314,22.839935653179154
9,6.139568538009924,-17.687502770874218,3.831947643085736,41.02942789291952,10.347221993038575,0.34230545973777454,3.5198467174714088,25.111304031203645,8.7045349928815,16.90791951204257,12.041831608509154,3641.72444992016,3.054330433763383,3.7205215097466056,26.67188329626489
10,9.462560931523775,-19.595785845263187,4.647001309811391,1164.7291625085134,12.041831608509154,0.3519733709855401,4.950577232302247,33.29511773786174,33.29511773786174,33.29511773786174,14.363582510175984,6211.441498364368,0.1496583749301804,4.072494880732146,31.31888460607628
11,13.625672012849614,-21.660520040730194,5.132760161322453,1185.799162849324,14.363582510175984,0.3304112018436367,6.596382263708847,33.29511773786174,33.29511773786174,33.29511773786174,16.70534089606781,9141.564984845074,0.20350790248991316,4.402906082575782,36.45164476739873
12,18.2264627958302,-23.936031201964035,5.49043505976148,1269.0819627994088,16.70534089606781,0.30811708172223,7.087406155799872,33.29511773786174,33.29511773786174,33.29511773786174,18.933287310278445,10506.494674954698,0.25020287453075496,4.7110231642980125,41.942079827160214
13,23.306639273566887,-26.018501874148622,6.383949405747498,742.5386115796563,18.933287310278445,0.31801470469186344,7.230843553877179,33.29511773786174,33.29511773786174,33.29511773786174,21.215481357089622,12463.561640383383,0.5427070055241551,5.029037868989876,48.326029232907715
14,29.17460045659504,-28.53282913399741,6.148111643759824,386.9531189481146,21.215481357089622,0.2734066176386637,7.176378994872206,33.29511773786174,33.29511773786174,33.29511773786174,23.75864324062012,11912.718399769952,1.3067938881257184,5.30244448662854,54.47414087666754
15,34.759113607959456,-31.10430529495496,5.315819088336745,505.9109601364991,23.75864324062012,0.2359707903873992,-10.435171852994959,33.29511773786174,33.29511773786174,33.29511773786174,21.29624749064056,0.0,1.003112869040307,5.53841527701594,59.789959965004286
16,39.61116225318976,-33.27583851465114,4.936967241405444,295.7426971381947,21.29624749064056,0.24440477623360085,-8.971062739337867,33.29511773786174,33.29511773786174,33.29511773786174,19.103676909255093,0.0,1.3797076878914536,5.78282005324954,64.72692720640973
17,44.17228905786635,-35.16522143358822,4.585872590328107,359.93743370110053,19.103676909255093,0.2548968743299992,-8.729702761251596,33.29511773786174,33.29511773786174,33.29511773786174,16.878502961582097,0.0,0.8992655021625513,6.037716927579539,69.31279979673783
18,48.4450006874422,-36.8308032374063,4.102813955563443,462.11323792506266,16.878502961582097,0.25892456339394065,-7.978441443660238,33.29511773786174,33.29511773786174,33.29511773786174,14.812688494218246,0.0,0.5433363153573288,6.29664149097348,73.41561375230128
19,52.27585102461479,-38.29970352270508,3.7759530582907166,239.31925654126735,14.812688494218246,0.27589136363551003,-8.164895362374669,33.29511773786174,33.29511773786174,33.29511773786174,12.560064378751447,0.0,0.7827071781366134,6.57253285460899,77.191566810592
20,55.71742981742691,-39.85320180441667,3.2284966453181405,37.12607915663185,12.560064378751447,0.2755949631039893,-6.135244448926324,23.637216599054746,8.681753842723575,16.15948522088916,10.869221911215641,0.0,3.6964006739126924,6.848127817712979,80.42006345591014
